,popularity,action,adventure,science_fiction,thriller,fantasy,crime,western,drama,family,animation,comedy,mystery,romance,war,history,music,horror,documentary,tv_movie,foreign
101,1.661789,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
102,1.6510779999999898,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,1.646664,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,1.532997,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
105,1.5100959999999999,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
106,1.499614,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
107,1.495112,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
108,1.4832459999999899,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
109,1.449072,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,1.448002,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
111,1.443406,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
112,1.41239,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113,1.40805,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
114,1.3882510000000001,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
115,1.388032,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
116,1.38032,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,1.3766049999999999,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
118,1.360926,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,1.360827,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
120,1.3558219999999999,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,1.345982,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
122,1.342839,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,1.338481,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
124,1.338322,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
125,1.329702,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
126,1.316239,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
127,1.315266,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
